Random,Date,Hour,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy,(Inverter),
0.4084720733,2/1/2016,6,0,9.92,0.37,-0.01,89.12,4.72,29.19,29.98,0,,277
0.3018383095,2/1/2016,7,0,10,0.47,-0.04,90.08,6,29.2,29.99,84.29,,
0.6705996669,2/1/2016,8,0.14,9.92,0.89,0.3,92,2.76,29.22,30.01,531,,
0.1716993847,2/1/2016,9,0.92,10,1.97,0.41,86.12,5.56,29.24,30.04,923.75,,
0.5143709981,2/1/2016,10,0.46,10,3.15,1.07,82.48,2.12,29.27,30.06,1947.75,,
0.872892129,2/1/2016,11,0.42,10,4.5,1.05,75.88,0,29.27,30.06,3562,,
0.2625467805,2/1/2016,12,0,10,6.16,1.26,68.96,0,29.26,30.05,4236.5,,
0.7941676341,2/1/2016,13,0,10,7.56,1.41,64.48,0,29.25,30.04,3913,,
0.8050222823,2/1/2016,14,0,10,8.47,0.63,57.12,3.72,29.24,30.03,3189.25,,
0.147884998,2/1/2016,15,0,10,8.78,-0.2,51.76,2.04,29.23,30.02,1687.75,,
0.677038477,2/1/2016,16,0,10,8.49,-0.21,54.2,3.2,29.24,30.03,453.93,,
0.5202635569,2/1/2016,17,0,10,5.86,0.44,64.64,3.16,29.26,30.05,9.13,,
0.0511535411,2/2/2016,6,0.92,5.04,2.07,0.54,89.8,14.08,29.19,29.98,0,,
0.2649608736,2/2/2016,7,0.92,5.76,2.51,0.67,86.8,18,29.13,29.92,31.35,,
0.0778655889,2/2/2016,8,0.92,5,2.63,1.06,88.84,17.92,29.08,29.87,116.1,,
0.49074452,2/2/2016,9,1,6.35,3.34,1.65,86.89,18.3,29.01,29.81,172.5,,
2.68027652055025E-005,2/2/2016,10,0.99,5.22,3.95,2.22,87.26,20.18,28.95,29.75,205,,
0.7456719303,2/2/2016,11,1,7.35,5.04,3.16,86.38,21.5,28.9,29.68,274,,
0.780811762,2/2/2016,12,1,5.93,6.34,4.93,90.56,20.46,28.85,29.64,325,,
0.4266196694,2/2/2016,13,1,1,7.96,7.07,97.28,17.56,28.81,29.59,256.5,,
0.7838255081,2/2/2016,14,1,0.92,9.99,9.27,97.38,15.76,28.76,29.54,133.75,,
0.8119590266,2/2/2016,15,1,3.15,11.87,11.02,96,20.92,28.72,29.5,182.5,,
0.9420241595,2/2/2016,16,1,4.68,12.79,11.72,95.2,17.96,28.71,29.49,115.5,,
0.0564865493,2/2/2016,17,0.83,7.26,13.51,12.56,94.26,17.15,28.69,29.47,2.93,,
0.4605329137,2/3/2016,6,0.16,10,2.47,0.22,79.12,15.36,28.83,29.61,0.68,,
0.7526585425,2/3/2016,7,0.56,10,1.86,-0.17,81.04,11.72,28.85,29.63,303.38,,
0.9848420233,2/3/2016,8,0.98,10,2.47,0.23,80.04,15.23,28.88,29.67,327.75,,
0.6798186076,2/3/2016,9,1,10,3.14,0.42,79,20.56,28.91,29.7,337.75,,
0.6579339758,2/3/2016,10,1,10,3.13,1.02,81.88,19.4,28.94,29.73,205,,
0.9901764081,2/3/2016,11,1,7.44,2.78,1.22,86.8,21.4,28.96,29.75,250.5,,
